name,city,country,address,latitude,longitude,website,phone,email,description,instagramUrl,twitterUrl,linkedinUrl,facebookUrl,hotDeskPrice,dedicatedDeskPrice,privateOfficePrice,pricingCurrency,amenities,images,source,sourceId,featured,verified
Capital Factory,Austin,USA,"701 Brazos St, Austin, TX 78701",30.2686,-97.7431,https://www.capitalfactory.com,+1-512-555-0200,,"Legendary Austin startup hub and accelerator with coworking",,,,,380,550,1050,USD,"High-Speed WiFi,Meeting Rooms,Event Space,Mentorship,Pitch Room,Rooftop",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,capitalfactory-austin,1,1
Link Coworking,Austin,USA,"601 W 26th St, Austin, TX 78705",30.2954,-97.7489,https://linkcoworking.com,+1-512-555-0300,,Community-driven coworking near UT Austin campus,,,,,320,480,900,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Outdoor Space,Community Events",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,link-austin,,1
WeWork Miami Beach,Miami,USA,"1 Lincoln Rd, Miami Beach, FL 33139",25.7907,-80.1300,https://www.wework.com,+1-305-555-0100,,Premium oceanside coworking on iconic Lincoln Road,,,,,480,680,1300,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Ocean Views,Terrace",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-miami-beach,1,1
The LAB Miami,Miami,USA,"400 NW 26th St, Miami, FL 33127",25.8018,-80.1987,https://thelabmiami.com,+1-305-555-0200,,Creative coworking in Wynwood Arts District,,,,,360,520,980,USD,"High-Speed WiFi,Meeting Rooms,Art Gallery,Event Space,Rooftop,Bar",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,lab-miami,1,1
Pipeline Brickell,Miami,USA,"1101 Brickell Ave, Miami, FL 33131",25.7617,-80.1918,https://www.pipelineworkspaces.com,+1-305-555-0300,,Modern coworking in Miami's financial district,,,,,420,600,1150,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,pipeline-brickell,,1
WeWork Chicago Fulton Market,Chicago,USA,"220 N Green St, Chicago, IL 60607",41.8858,-87.6489,https://www.wework.com,+1-312-555-0100,,Industrial-chic coworking in trendy Fulton Market,,,,,400,580,1100,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Event Space,Bike Storage",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-chicago-fulton,1,1
1871 Chicago,Chicago,USA,"222 Merchandise Mart Plaza, Chicago, IL 60654",41.8882,-87.6356,https://www.1871.com,+1-312-555-0200,,"Chicago's premier tech hub and startup incubator",,,,,380,550,1050,USD,"High-Speed WiFi,Meeting Rooms,Event Space,Mentorship,Workshops,River Views",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,1871-chicago,1,1
The Coop,Chicago,USA,"~~5 W Monroe St, Chicago, IL 60603",41.8806,-87.6287,https://www.thecoopchicago.com,+1-312-555-0300,,Professional coworking in Chicago Loop with networking focus,,,,,360,520,980,USD,"High-Speed WiFi,Meeting Rooms,Event Space,Lounge Area,Kitchen",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,coop-chicago,,1
WeWork Seattle South Lake Union,Seattle,USA,"500 Yale Ave N, Seattle, WA 98109",47.6235,-122.3301,https://www.wework.com,+1-206-555-0100,,Modern workspace in Seattle's tech hub near Amazon HQ,,,,,450,650,1250,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Lake Views,Bike Storage",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-seattle-slu,1,1
Galvanize Seattle,Seattle,USA,"44 Union St, Seattle, WA 98101",47.6088,-122.3373,https://www.galvanize.com,+1-206-555-0200,,Tech education and coworking space in Pioneer Square,,,,,420,600,1150,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Classrooms",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,galvanize-seattle,1,1
WeWork Boston Seaport,Boston,USA,"50 Seaport Blvd, Boston, MA 02210",42.3527,-71.0445,https://www.wework.com,+1-617-555-0100,,Waterfront coworking in Boston's Innovation District,,,,,460,660,1280,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Harbor Views,Event Space",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-boston-seaport,1,1
CIC Boston,Boston,USA,"50 Milk St, Boston, MA 02109",42.3577,-71.0556,https://cic.com,+1-617-555-0200,,"Largest coworking and innovation campus in Boston",,,,,400,580,1100,USD,"High-Speed WiFi,Meeting Rooms,Event Space,Labs,Cafeteria,Venture Services",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,cic-boston,1,1
WeWork LA Arts District,Los Angeles,USA,"800 E 3rd St, Los Angeles, CA 90013",34.0442,-118.2348,https://www.wework.com,+1-213-555-0100,,Creative coworking in LA's vibrant Arts District,,,,,440,640,1220,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Rooftop,Event Space",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-la-arts,1,1
Cross Campus,Los Angeles,USA,"820 Broadway, Santa Monica, CA 90401",34.0143,-118.4965,https://www.crosscamp us.com,+1-310-555-0200,,Santa Monica coworking with beach vibes and tech community,,,,,420,600,1150,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Outdoor Lounge",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,cross-campus-la,1,1
The Yard Columbus Circle,New York,USA,"157 Columbus Ave, New York, NY 10023",40.7742,-73.9819,https://theyard.com,+1-212-555-0300,,Boutique coworking near Central Park West,,,,,460,660,1280,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Wellness Room,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,yard-columbus,,1
Industrious Brooklyn,New York,USA,"25 Kent Ave, Brooklyn, NY 11249",40.7205,-73.9645,https://www.industriousoffice.com,+1-718-555-0400,,Premium coworking with waterfront views in Williamsburg,,,,,480,680,1300,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Reception,Phone Booths,Event Space",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,industrious-brooklyn,,1
Mindspace Hamburg,Hamburg,Germany,"Caffamacherreihe 5, 20355 Hamburg",53.5511,9.9937,https://www.mindspace.me,+49-40-5555-0100,,Design-led coworking in Hamburg city center,,,,,320,460,880,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Wellness Room",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,mindspace-hamburg,1,1
betahaus Hamburg,Hamburg,Germany,"Eifflerstraße 43, 22769 Hamburg",53.5566,9.9428,https://www.betahaus.com/hamburg,+49-40-5555-0200,,Creative coworking community in Altona,,,,,280,420,780,EUR,"High-Speed WiFi,Meeting Rooms,Workshop Space,Event Space,Kitchen",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,betahaus-hamburg,,1
Utopicus Madrid,Madrid,Spain,"Calle de Alcalá 21, 28014 Madrid",40.4194,-3.6996,https://www.utopicus.es,+34-91-555-0100,,Elegant coworking in historic Madrid building,,,,,340,490,920,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Event Space,Terrace",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,utopicus-madrid,1,1
Impact Hub Madrid,Madrid,Spain,"Calle de la Alameda 22, 28014 Madrid",40.4174,-3.7018,https://madrid.impacthub.net,+34-91-555-0200,,Social impact coworking community in Huertas,,,,,300,440,820,EUR,"High-Speed WiFi,Meeting Rooms,Event Space,Community Kitchen,Sustainability Focus",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,impacthub-madrid,1,1
Talent Garden Barcelona,Barcelona,Spain,"Carrer de Pujades 102, 08005 Barcelona",41.3959,2.1923,https://talentgarden.org,+34-93-555-0100,,"Digital innovation campus and coworking in Poblenou",,,,,330,480,900,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Rooftop,Training",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,talent-barcelona,1,1
MOB Barcelona,Barcelona,Spain,"Carrer de Bailèn 11, 08010 Barcelona",41.3901,2.1705,https://www.mob-barcelona.com,+34-93-555-0200,,Maker-focused coworking with FabLab in Eixample,,,,,310,450,850,EUR,"High-Speed WiFi,Meeting Rooms,FabLab,Workshop Space,3D Printers,Laser Cutters",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,mob-barcelona,1,1
Spaces Barcelona,Barcelona,Spain,"Gran Via de les Corts Catalanes 159, 08014 Barcelona",41.3784,2.1564,https://www.spacesworks.com,+34-93-555-0300,,Modern coworking on Barcelona's main avenue,,,,,350,500,950,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Terrace",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,spaces-barcelona,,1
La Mutinerie,Paris,France,"176 Rue Oberkampf, 75011 Paris",48.8670,2.3822,https://lamutinerie.eu,+33-1-5555-0400,,Inclusive coworking space in vibrant Oberkampf,,,,,280,420,780,EUR,"High-Speed WiFi,Meeting Rooms,Event Space,Bar,Community Kitchen",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,mutinerie-paris,,1
Morning Coworking,Paris,France,"11 Rue Réaumur, 75003 Paris",48.8643,2.3565,https://morning.fr,+33-1-5555-0500,,"Premium coworking network with multiple Paris locations",,,,,360,520,980,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Phone Booths,Event Space",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,morning-paris,,1
Cohome,Copenhagen,Denmark,"Folke Bernadottes Allé 7, 2100 Copenhagen",55.7023,12.5766,https://www.cohome.dk,+45-5555-0100,,Danish design meets coworking in Østerbro,,,,,380,550,1050,DKK,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Kitchen,Bike Parking",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,cohome-copenhagen,1,1
SOHO Copenhagen,Copenhagen,Denmark,"Frederiksborggade 15, 1360 Copenhagen",55.6836,12.5717,https://sohocopenhagen.com,+45-5555-0200,,Central coworking with Scandinavian minimalism,,,,,360,520,980,DKK,"High-Speed WiFi,Meeting Rooms,Lounge Area,Kitchen,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,soho-copenhagen,,1
